ilan_id,portfoy_tipi,ilan_turu,mahalle,oda_sayisi,metrekare,fiyat,onceki_fiyat,ilan_tarihi,son_fiyat_guncelleme,durum,fiyat_m2,ilan_yasi_gun,fiyat_degisimi_yuzde,portfoy_oncelik_skoru
TRS-00024,Villa,Satılık,Reşadiye,3+1,397,8726000,7968000,2026-04-14,2026-06-26,Aktif,21979.85,125,9.51,40.0
TRS-00025,Ofis,Kiralık,Yeni Mahalle,2+0,146,17400,19000,2026-03-27,2026-06-15,Aktif,119.18,143,-8.42,48.4
TRS-00026,Daire,Satılık,Yeni Mahalle,1+1,135,3982000,4561000,2026-04-16,2026-06-10,Aktif,29496.3,123,-12.69,52.7
TRS-00027,Dükkan,Satılık,Gaziler,1+0,192,8107000,7456000,2026-06-17,2026-06-17,Aktif,42223.96,61,8.73,20.3
TRS-00028,Daire,Satılık,Eski Yol,3+1,162,3909000,4212000,2026-06-25,2026-07-27,Aktif,24129.63,53,-7.19,24.9
TRS-00029,Daire,Satılık,Akşemsettin,4+1,57,1643000,1792000,2026-03-25,2026-08-07,Aktif,28824.56,145,-8.31,48.3
TRS-00030,Dükkan,Satılık,Şahin,2+0,102,3342000,3838000,2026-04-26,2026-07-09,Aktif,32764.71,113,-12.92,50.6
TRS-00031,Daire,Kiralık,Reşadiye,2+1,81,5400,6000,2026-07-20,2026-08-12,Aktif,66.67,28,-10.0,19.3
TRS-00032,Daire,Kiralık,Yeşil Mahalle,4+1,184,13800,13800,2026-08-03,,Aktif,75.0,14,0.0,14.7
TRS-00033,Villa,Satılık,Mithatpaşa,4+1,160,4829000,4559000,2026-03-06,2026-07-27,Aktif,30181.25,164,5.92,40.0
TRS-00034,Daire,Satılık,Mithatpaşa,2+1,74,1887000,1953000,2026-05-14,2026-07-29,Aktif,25500.0,95,-3.38,35.0
TRS-00035,Dükkan,Satılık,Yeşil Mahalle,1+0,131,4100000,4100000,2026-02-27,,Aktif,31297.71,171,0.0,50.0
TRS-00036,Dükkan,Kiralık,Reşadiye,3+0,198,14100,14000,2026-06-17,2026-06-26,Aktif,71.21,61,0.71,20.3
TRS-00037,Daire,Kiralık,Yeni Mahalle,2+1,160,16500,16500,2026-02-18,,Aktif,103.12,180,0.0,50.0
TRS-00038,Dükkan,Satılık,Yeni Mahalle,2+0,91,3460000,3460000,2026-06-19,,Aktif,38021.98,59,0.0,29.7
TRS-00039,Daire,Kiralık,Bahçe,3+1,72,6600,7000,2026-04-08,2026-06-09,Aktif,91.67,131,-5.71,45.7
TRS-00040,Daire,Kiralık,Akşemsettin,1+1,64,6400,7000,2026-05-20,2026-07-07,Aktif,100.0,89,-8.57,38.2
TRS-00041,Daire,Satılık,Gaziler,1+1,120,4454000,4625000,2026-08-16,2026-08-16,Aktif,37116.67,1,-3.7,4.0
TRS-00042,Daire,Satılık,Yeşil Mahalle,3+1,131,3548000,3736000,2026-05-25,2026-07-10,Aktif,27083.97,84,-5.03,33.0
TRS-00043,Daire,Satılık,Mithatpaşa,3+1,212,5153000,5153000,2026-08-16,,Aktif,24306.6,1,0.0,10.3
TRS-00044,Daire,Kiralık,Bahçe,4+1,174,16800,16000,2026-06-23,2026-06-27,Aktif,96.55,55,5.0,18.3
TRS-00045,Daire,Kiralık,Şahin,3+1,186,15000,14000,2026-06-17,2026-08-02,Aktif,80.65,61,7.14,20.3
TRS-00046,Daire,Kiralık,Yeni Mahalle,1+1,211,24500,26000,2026-03-08,2026-05-19,Aktif,116.11,162,-5.77,45.8
TRS-00047,Daire,Satılık,Şahin,4+1,82,2279000,2598000,2026-02-19,2026-08-10,Aktif,27792.68,179,-12.28,52.3
TRS-00048,Daire,Kiralık,Gaziler,3+1,190,28300,32000,2026-04-25,2026-06-13,Aktif,148.95,114,-11.56,49.6
TRS-00049,Dükkan,Kiralık,Kızılmurat,2+0,155,16400,16400,2026-03-06,,Aktif,105.81,164,0.0,50.0
TRS-00050,Daire,Satılık,Reşadiye,4+1,125,2412000,2412000,2026-06-04,,Aktif,19296.0,74,0.0,34.7
TRS-00051,Daire,Satılık,Yeşil Mahalle,2+1,90,2095000,2095000,2026-02-20,,Aktif,23277.78,178,0.0,50.0
TRS-00052,Daire,Kiralık,Bahçe,4+1,139,13200,12000,2026-06-25,2026-07-23,Aktif,94.96,53,10.0,17.7
TRS-00053,Dükkan,Kiralık,Yeni Mahalle,1+0,162,27800,31000,2026-06-01,2026-06-24,Aktif,171.6,77,-10.32,36.0
TRS-00054,Dükkan,Kiralık,Eski Yol,2+0,96,7600,7000,2026-08-09,2026-08-10,Aktif,79.17,8,8.57,2.7
TRS-00055,Ofis,Satılık,Şahin,3+0,130,4290000,4290000,2026-08-10,,Aktif,33000.0,7,0.0,12.3
TRS-00056,Daire,Kiralık,Mithatpaşa,1+1,101,7500,7500,2026-05-25,,Aktif,74.26,84,0.0,38.0
TRS-00057,Daire,Kiralık,Yeşil Mahalle,4+1,126,9500,11000,2026-07-27,2026-07-30,Aktif,75.4,21,-13.64,20.6
TRS-00058,Daire,Satılık,Bahçe,2+1,62,1625000,1804000,2026-08-11,2026-08-15,Aktif,26209.68,6,-9.92,11.9
TRS-00059,Dükkan,Kiralık,Eski Yol,2+0,219,20800,19000,2026-07-05,2026-08-09,Aktif,94.98,43,9.47,14.3
TRS-00060,Daire,Satılık,Akşemsettin,4+1,134,3578000,3578000,2026-06-27,,Aktif,26701.49,51,0.0,27.0
TRS-00061,Daire,Kiralık,Bahçe,1+1,208,24300,27000,2026-03-25,2026-07-03,Aktif,116.83,145,-10.0,50.0
TRS-00062,Daire,Kiralık,Gaziler,4+1,58,8100,9000,2026-07-20,2026-08-05,Aktif,139.66,28,-10.0,19.3
TRS-00063,Daire,Kiralık,Şahin,4+1,212,21800,21800,2026-03-18,,Aktif,102.83,152,0.0,50.0
TRS-00064,Villa,Satılık,Bahçe,4+1,231,6774000,7001000,2026-04-20,2026-05-23,Aktif,29324.68,119,-3.24,42.9
TRS-00065,Daire,Satılık,Yeşil Mahalle,3+1,145,3513000,3836000,2026-03-17,2026-07-12,Aktif,24227.59,153,-8.42,48.4
TRS-00066,Daire,Kiralık,Bahçe,2+1,180,19900,18000,2026-03-04,2026-06-20,Aktif,110.56,166,10.56,40.0
TRS-00067,Daire,Satılık,Bahçe,3+1,133,3850000,3850000,2026-04-03,,Aktif,28947.37,136,0.0,50.0
TRS-00068,Daire,Kiralık,Reşadiye,3+1,124,8200,9000,2026-07-17,2026-08-06,Aktif,66.13,31,-8.89,19.2
TRS-00069,Daire,Kiralık,Şahin,3+1,125,16700,16700,2026-06-28,,Aktif,133.6,50,0.0,26.7
TRS-00070,Daire,Satılık,Yeşil Mahalle,2+1,191,4517000,4296000,2026-08-03,2026-08-05,Aktif,23649.21,14,5.14,4.7
TRS-00071,Daire,Satılık,Kızılmurat,3+1,201,4689000,4689000,2026-04-26,,Aktif,23328.36,113,0.0,47.7
TRS-00072,Daire,Kiralık,Yeni Mahalle,1+1,84,9400,11000,2026-07-29,2026-08-15,Aktif,111.9,19,-14.55,20.9
TRS-00073,Daire,Satılık,Akşemsettin,4+1,85,2438000,2438000,2026-03-11,,Aktif,28682.35,159,0.0,50.0
TRS-00074,Daire,Kiralık,Reşadiye,4+1,131,9000,9000,2026-03-11,,Aktif,68.7,159,0.0,50.0
TRS-00075,Dükkan,Satılık,Gaziler,1+0,200,7328000,7328000,2026-07-27,,Aktif,36640.0,21,0.0,17.0
TRS-00076,Daire,Satılık,Şahin,4+1,55,1663000,1854000,2026-03-17,2026-08-12,Aktif,30236.36,153,-10.3,50.3
TRS-00077,Daire,Satılık,Kızılmurat,2+1,122,2803000,2803000,2026-03-30,,Aktif,22975.41,140,0.0,50.0
TRS-00078,Dükkan,Satılık,Şahin,1+0,58,1817000,1699000,2026-05-30,2026-06-05,Aktif,31327.59,79,6.95,26.3
TRS-00079,Daire,Kiralık,Kızılmurat,4+1,124,9600,9600,2026-03-16,,Aktif,77.42,154,0.0,50.0
TRS-00080,Müstakil Ev,Kiralık,Mithatpaşa,2+1,106,7700,8000,2026-02-25,2026-06-04,Aktif,72.64,173,-3.75,43.8
TRS-00081,Daire,Satılık,Akşemsettin,4+1,175,5531000,6023000,2026-07-01,2026-07-20,Aktif,31605.71,47,-8.17,23.8
TRS-00082,Daire,Kiralık,Gaziler,3+1,140,18200,18200,2026-07-06,,Aktif,130.0,42,0.0,24.0
TRS-00083,Daire,Kiralık,Kızılmurat,1+1,195,15300,15300,2026-05-28,,Aktif,78.46,81,0.0,37.0
TRS-00084,Ofis,Kiralık,Gaziler,1+0,161,21800,23000,2026-03-31,2026-08-10,Aktif,135.4,139,-5.22,45.2
TRS-00085,Daire,Satılık,Kızılmurat,3+1,107,2565000,2941000,2026-06-04,2026-06-15,Aktif,23971.96,74,-12.78,37.4
TRS-00086,Müstakil Ev,Satılık,Eski Yol,2+1,179,3828000,3828000,2026-07-24,,Aktif,21385.47,24,0.0,18.0
TRS-00087,Daire,Satılık,Gaziler,2+1,220,7618000,8288000,2026-06-03,2026-07-13,Aktif,34627.27,75,-8.08,33.1
TRS-00088,Daire,Satılık,Kızılmurat,2+1,153,4127000,3806000,2026-04-08,2026-07-30,Aktif,26973.86,131,8.43,40.0
TRS-00089,Daire,Kiralık,Mithatpaşa,3+1,55,5300,6000,2026-03-19,2026-05-24,Aktif,96.36,151,-11.67,51.7
TRS-00090,Daire,Kiralık,Reşadiye,4+1,196,14700,16000,2026-05-26,2026-07-17,Aktif,75.0,83,-8.12,35.8
TRS-00091,Daire,Kiralık,Mithatpaşa,4+1,152,16700,15000,2026-03-03,2026-06-14,Aktif,109.87,167,11.33,40.0
TRS-00092,Daire,Satılık,Eski Yol,1+1,167,3540000,3540000,2026-04-22,,Aktif,21197.6,117,0.0,49.0
TRS-00093,Daire,Satılık,Şahin,4+1,74,2494000,2494000,2026-06-10,,Aktif,33702.7,68,0.0,32.7
TRS-00094,Daire,Kiralık,Mithatpaşa,4+1,191,20600,19000,2026-03-09,2026-06-15,Aktif,107.85,161,8.42,40.0
TRS-00095,Daire,Kiralık,Gaziler,1+1,113,12900,12000,2026-07-22,2026-07-25,Aktif,114.16,26,7.5,8.7
TRS-00096,Dükkan,Satılık,Akşemsettin,1+0,123,3638000,3994000,2026-05-13,2026-07-16,Aktif,29577.24,96,-8.91,40.9
TRS-00097,Daire,Satılık,Şahin,4+1,211,6753000,7329000,2026-06-16,2026-07-10,Aktif,32004.74,62,-7.86,28.5
TRS-00098,Daire,Satılık,Akşemsettin,3+1,174,5107000,5107000,2026-07-07,,Aktif,29350.57,41,0.0,23.7
TRS-00099,Ofis,Kiralık,Yeşil Mahalle,3+0,138,10900,10900,2026-05-31,,Aktif,78.99,78,0.0,36.0
TRS-00100,Dükkan,Satılık,Mithatpaşa,2+0,100,2959000,2959000,2026-03-22,,Aktif,29590.0,148,0.0,50.0
TRS-00101,Daire,Kiralık,Akşemsettin,1+1,125,12300,12000,2026-02-22,2026-08-10,Aktif,98.4,176,2.5,40.0
TRS-00102,Müstakil Ev,Satılık,Akşemsettin,4+1,255,6380000,6134000,2026-06-29,2026-07-04,Aktif,25019.61,49,4.01,16.3
TRS-00103,Daire,Satılık,Şahin,4+1,134,3464000,3208000,2026-05-15,2026-08-05,Aktif,25850.75,94,7.98,31.3
TRS-00104,Daire,Satılık,Mithatpaşa,3+1,193,4898000,4778000,2026-06-08,2026-07-15,Aktif,25378.24,70,2.51,23.3
TRS-00105,Müstakil Ev,Kiralık,Akşemsettin,5+1,129,15400,15000,2026-07-11,2026-08-02,Aktif,119.38,37,2.67,12.3
TRS-00106,Ofis,Kiralık,Mithatpaşa,2+0,53,3400,3400,2026-04-01,,Aktif,64.15,138,0.0,50.0
TRS-00107,Daire,Kiralık,Yeşil Mahalle,4+1,204,21100,21100,2026-05-13,,Aktif,103.43,96,0.0,42.0
TRS-00108,Daire,Kiralık,Bahçe,2+1,211,22800,25000,2026-03-07,2026-05-19,Aktif,108.06,163,-8.8,48.8
TRS-00109,Daire,Satılık,Şahin,4+1,132,3527000,3790000,2026-06-17,2026-08-08,Aktif,26719.7,61,-6.94,27.3
TRS-00110,Daire,Satılık,Reşadiye,1+1,161,4044000,4345000,2026-03-12,2026-07-12,Aktif,25118.01,158,-6.93,46.9
TRS-00111,Daire,Satılık,Kızılmurat,1+1,147,4035000,4349000,2026-05-14,2026-05-26,Aktif,27448.98,95,-7.22,38.9
TRS-00112,Ofis,Kiralık,Bahçe,3+0,53,4600,5000,2026-03-06,2026-08-14,Aktif,86.79,164,-8.0,48.0
TRS-00113,Müstakil Ev,Satılık,Şahin,3+1,117,3704000,3704000,2026-06-18,,Aktif,31658.12,60,0.0,30.0
TRS-00114,Müstakil Ev,Satılık,Şahin,3+1,170,6098000,6098000,2026-03-31,,Aktif,35870.59,139,0.0,50.0
TRS-00115,Daire,Satılık,Şahin,1+1,88,2575000,2668000,2026-06-17,2026-08-15,Aktif,29261.36,61,-3.49,23.8
TRS-00116,Daire,Satılık,Mithatpaşa,4+1,176,4839000,5533000,2026-04-07,2026-06-20,Aktif,27494.32,132,-12.54,52.5
TRS-00117,Müstakil Ev,Kiralık,Yeni Mahalle,2+1,217,19300,21000,2026-04-16,2026-06-23,Aktif,88.94,123,-8.1,48.1
TRS-00118,Daire,Satılık,Kızılmurat,2+1,137,2751000,2560000,2026-06-07,2026-06-07,Aktif,20080.29,71,7.46,23.7
TRS-00119,Daire,Kiralık,Eski Yol,4+1,184,10200,10200,2026-02-18,,Aktif,55.43,180,0.0,50.0
TRS-00120,Müstakil Ev,Satılık,Reşadiye,5+1,210,5363000,5363000,2026-05-03,,Aktif,25538.1,106,0.0,45.3
TRS-00121,Daire,Satılık,Kızılmurat,4+1,135,2979000,3238000,2026-06-12,2026-07-28,Aktif,22066.67,66,-8.0,30.0
TRS-00122,Villa,Satılık,Gaziler,3+1,270,11149000,12763000,2026-05-13,2026-06-06,Aktif,41292.59,96,-12.65,44.6
TRS-00123,Daire,Satılık,Reşadiye,3+1,160,4068000,3857000,2026-04-30,2026-08-10,Aktif,25425.0,109,5.47,36.3
TRS-00124,Daire,Satılık,Yeşil Mahalle,4+1,94,2182000,2447000,2026-07-20,2026-07-30,Aktif,23212.77,28,-10.83,20.2
TRS-00125,Daire,Kiralık,Eski Yol,1+1,198,15100,16000,2026-03-01,2026-07-13,Aktif,76.26,169,-5.62,45.6
TRS-00126,Dükkan,Kiralık,Akşemsettin,1+0,41,5400,6000,2026-03-25,2026-08-08,Aktif,131.71,145,-10.0,50.0
TRS-00127,Daire,Satılık,Yeni Mahalle,4+1,151,5179000,4896000,2026-07-07,2026-07-27,Aktif,34298.01,41,5.78,13.7
TRS-00128,Dükkan,Satılık,Gaziler,3+0,80,2697000,2697000,2026-07-27,,Aktif,33712.5,21,0.0,17.0
TRS-00129,Daire,Kiralık,Mithatpaşa,3+1,161,11600,11600,2026-04-07,,Aktif,72.05,132,0.0,50.0
TRS-00130,Daire,Kiralık,Mithatpaşa,3+1,189,12000,13000,2026-05-07,2026-08-09,Aktif,63.49,102,-7.69,41.7
TRS-00131,Müstakil Ev,Kiralık,Bahçe,4+1,174,13600,15000,2026-04-11,2026-07-25,Aktif,78.16,128,-9.33,49.3
TRS-00132,Daire,Kiralık,Bahçe,4+1,73,8800,9000,2026-08-06,2026-08-09,Aktif,120.55,11,-2.22,5.9
TRS-00133,Daire,Kiralık,Eski Yol,4+1,218,13800,13800,2026-05-05,,Aktif,63.3,104,0.0,44.7
TRS-00134,Daire,Kiralık,Yeşil Mahalle,1+1,147,12400,12400,2026-07-20,,Aktif,84.35,28,0.0,19.3
TRS-00135,Daire,Satılık,Eski Yol,3+1,156,3553000,3553000,2026-06-21,,Aktif,22775.64,57,0.0,29.0
TRS-00136,Daire,Satılık,Şahin,2+1,190,6652000,6113000,2026-05-19,2026-05-26,Aktif,35010.53,90,8.82,30.0
TRS-00137,Daire,Satılık,Şahin,2+1,209,6998000,6998000,2026-03-02,,Aktif,33483.25,168,0.0,50.0
TRS-00138,Daire,Kiralık,Kızılmurat,3+1,199,19400,19400,2026-03-09,,Aktif,97.49,161,0.0,50.0
TRS-00139,Daire,Kiralık,Kızılmurat,3+1,216,20300,20300,2026-03-18,,Aktif,93.98,152,0.0,50.0
TRS-00140,Daire,Kiralık,Reşadiye,1+1,170,9800,9800,2026-06-04,,Aktif,57.65,74,0.0,34.7
TRS-00141,Daire,Kiralık,Gaziler,1+1,173,19900,22000,2026-03-23,2026-07-06,Aktif,115.03,147,-9.55,49.6
TRS-00142,Daire,Kiralık,Yeni Mahalle,2+1,76,6700,7000,2026-04-26,2026-06-10,Aktif,88.16,113,-4.29,42.0
TRS-00143,Dükkan,Kiralık,Yeşil Mahalle,2+0,144,16000,17000,2026-08-03,2026-08-06,Aktif,111.11,14,-5.88,10.5
TRS-00144,Daire,Kiralık,Reşadiye,2+1,119,8300,9000,2026-03-20,2026-07-03,Aktif,69.75,150,-7.78,47.8
TRS-00145,Daire,Satılık,Mithatpaşa,4+1,134,3530000,3920000,2026-05-24,2026-06-10,Aktif,26343.28,85,-9.95,38.3
TRS-00146,Daire,Kiralık,Reşadiye,2+1,134,13000,15000,2026-05-21,2026-06-15,Aktif,97.01,88,-13.33,42.7
TRS-00147,Daire,Satılık,Şahin,1+1,184,5971000,5971000,2026-03-11,,Aktif,32451.09,159,0.0,50.0
TRS-00148,Daire,Satılık,Mithatpaşa,2+1,214,5780000,5650000,2026-08-05,2026-08-06,Aktif,27009.35,12,2.3,4.0
TRS-00149,Daire,Kiralık,Eski Yol,2+1,114,7300,8000,2026-04-18,2026-07-23,Aktif,64.04,121,-8.75,48.8
TRS-00150,Daire,Kiralık,Kızılmurat,4+1,152,15500,14000,2026-06-26,2026-08-08,Aktif,101.97,52,10.71,17.3
TRS-00151,Dükkan,Satılık,Kızılmurat,3+0,222,6740000,6740000,2026-06-05,,Aktif,30360.36,73,0.0,34.3
TRS-00152,Daire,Satılık,Şahin,1+1,166,5883000,6078000,2026-06-21,2026-06-21,Aktif,35439.76,57,-3.21,22.2
TRS-00153,Daire,Kiralık,Yeni Mahalle,4+1,115,17600,17600,2026-05-13,,Aktif,153.04,96,0.0,42.0
TRS-00154,Dükkan,Kiralık,Yeşil Mahalle,1+0,242,19300,20000,2026-06-04,2026-06-17,Aktif,79.75,74,-3.5,28.2
TRS-00155,Daire,Satılık,Kızılmurat,1+1,75,1621000,1691000,2026-07-09,2026-07-09,Aktif,21613.33,39,-4.14,17.1
TRS-00156,Daire,Satılık,Akşemsettin,2+1,67,1803000,1695000,2026-03-10,2026-08-02,Aktif,26910.45,160,6.37,40.0
TRS-00157,Daire,Satılık,Reşadiye,3+1,91,2002000,2222000,2026-03-12,2026-06-04,Aktif,22000.0,158,-9.9,49.9
TRS-00158,Daire,Kiralık,Gaziler,1+1,72,8000,8000,2026-04-18,,Aktif,111.11,121,0.0,50.0
TRS-00159,Ofis,Kiralık,Mithatpaşa,2+0,34,3600,3600,2026-05-20,,Aktif,105.88,89,0.0,39.7
TRS-00160,Müstakil Ev,Kiralık,Gaziler,2+1,134,14500,14000,2026-05-22,2026-07-25,Aktif,108.21,87,3.57,29.0
TRS-00161,Daire,Satılık,Kızılmurat,4+1,71,1409000,1409000,2026-06-26,,Aktif,19845.07,52,0.0,27.3
TRS-00162,Dükkan,Kiralık,Bahçe,3+0,119,12900,12000,2026-03-30,2026-08-12,Aktif,108.4,140,7.5,40.0
TRS-00163,Dükkan,Satılık,Yeşil Mahalle,2+0,207,5628000,5468000,2026-05-14,2026-06-26,Aktif,27188.41,95,2.93,31.7
TRS-00164,Daire,Satılık,Mithatpaşa,4+1,182,4363000,4363000,2026-04-06,,Aktif,23972.53,133,0.0,50.0
TRS-00165,Müstakil Ev,Satılık,Gaziler,3+1,210,7388000,7388000,2026-05-26,,Aktif,35180.95,83,0.0,37.7
TRS-00166,Daire,Kiralık,Yeşil Mahalle,4+1,169,12000,12000,2026-04-25,2026-08-11,Aktif,71.01,114,0.0,38.0
TRS-00167,Ofis,Kiralık,Eski Yol,1+0,44,3600,4000,2026-05-05,2026-05-22,Aktif,81.82,104,-10.0,44.7
TRS-00168,Daire,Kiralık,Eski Yol,2+1,63,3400,3000,2026-03-04,2026-06-28,Aktif,53.97,166,13.33,40.0
TRS-00169,Daire,Kiralık,Şahin,4+1,150,18100,18100,2026-03-23,,Aktif,120.67,147,0.0,50.0
TRS-00170,Daire,Kiralık,Yeşil Mahalle,1+1,118,7500,7000,2026-06-30,2026-07-23,Aktif,63.56,48,7.14,16.0
TRS-00171,Müstakil Ev,Satılık,Akşemsettin,4+1,256,7554000,7554000,2026-04-13,,Aktif,29507.81,126,0.0,50.0
TRS-00172,Dükkan,Kiralık,Şahin,3+0,84,9800,11000,2026-07-25,2026-08-06,Aktif,116.67,23,-10.91,18.6
TRS-00173,Daire,Kiralık,Reşadiye,2+1,95,8500,8500,2026-04-08,,Aktif,89.47,131,0.0,50.0
TRS-00174,Müstakil Ev,Satılık,Bahçe,2+1,226,6288000,7144000,2026-03-23,2026-06-07,Aktif,27823.01,147,-11.98,52.0
TRS-00175,Daire,Kiralık,Gaziler,4+1,189,25800,25800,2026-03-22,,Aktif,136.51,148,0.0,50.0
TRS-00176,Daire,Kiralık,Yeşil Mahalle,3+1,174,12000,11000,2026-03-28,2026-07-24,Aktif,68.97,142,9.09,40.0
TRS-00177,Dükkan,Satılık,Reşadiye,3+0,71,1623000,1623000,2026-07-05,,Aktif,22859.15,43,0.0,24.3
TRS-00178,Daire,Kiralık,Bahçe,3+1,75,6200,6200,2026-03-28,,Aktif,82.67,142,0.0,50.0
TRS-00179,Daire,Satılık,Akşemsettin,2+1,183,5223000,5223000,2026-03-21,,Aktif,28540.98,149,0.0,50.0
TRS-00180,Müstakil Ev,Kiralık,Eski Yol,2+1,244,20800,20800,2026-08-09,,Aktif,85.25,8,0.0,12.7
TRS-00181,Daire,Satılık,Eski Yol,4+1,201,4394000,4685000,2026-08-09,2026-08-12,Aktif,21860.7,8,-6.21,8.9
TRS-00182,Villa,Kiralık,Bahçe,4+1,236,19600,19600,2026-08-01,,Aktif,83.05,16,0.0,15.3
TRS-00183,Daire,Satılık,Mithatpaşa,2+1,142,3338000,3039000,2026-05-27,2026-07-03,Aktif,23507.04,82,9.84,27.3
TRS-00184,Daire,Satılık,Yeşil Mahalle,2+1,136,3445000,3668000,2026-06-09,2026-07-29,Aktif,25330.88,69,-6.08,29.1
TRS-00185,Dükkan,Kiralık,Mithatpaşa,1+0,103,12000,11000,2026-03-22,2026-07-23,Aktif,116.5,148,9.09,40.0
TRS-00186,Daire,Kiralık,Reşadiye,1+1,182,10700,11000,2026-05-08,2026-07-17,Aktif,58.79,101,-2.73,36.4
TRS-00187,Daire,Kiralık,Yeni Mahalle,1+1,128,18300,18300,2026-04-28,,Aktif,142.97,111,0.0,47.0
TRS-00188,Müstakil Ev,Kiralık,Akşemsettin,2+1,193,17200,18000,2026-03-24,2026-07-01,Aktif,89.12,146,-4.44,44.4
TRS-00189,Daire,Kiralık,Reşadiye,1+1,214,13000,14000,2026-07-23,2026-08-06,Aktif,60.75,25,-7.14,15.5
TRS-00190,Daire,Kiralık,Şahin,1+1,183,14200,15000,2026-07-12,2026-07-17,Aktif,77.6,36,-5.33,17.3
TRS-00191,Daire,Kiralık,Reşadiye,4+1,96,9500,9000,2026-06-01,2026-06-13,Aktif,98.96,77,5.56,25.7
TRS-00192,Daire,Satılık,Eski Yol,3+1,149,3317000,3654000,2026-05-02,2026-05-20,Aktif,22261.74,107,-9.22,44.9
TRS-00193,Ofis,Satılık,Akşemsettin,3+0,43,1241000,1155000,2026-04-04,2026-05-29,Aktif,28860.47,135,7.45,40.0
TRS-00194,Daire,Satılık,Bahçe,1+1,103,2948000,2948000,2026-05-01,,Aktif,28621.36,108,0.0,46.0
TRS-00195,Daire,Kiralık,Bahçe,2+1,70,7100,7100,2026-03-26,,Aktif,101.43,144,0.0,50.0
TRS-00196,Daire,Kiralık,Kızılmurat,4+1,99,9800,9000,2026-05-21,2026-05-22,Aktif,98.99,88,8.89,29.3
TRS-00197,Daire,Satılık,Akşemsettin,3+1,118,3330000,3185000,2026-06-20,2026-07-28,Aktif,28220.34,58,4.55,19.3
